盔甲编号	部件编号	说明
1	20	盔甲编号是armor的该数值行的装备
2	17	部件编号是人物资源部件表里面该行的数字，要在一般的编号上加1。及取值2-22。
3	17	
4	17	
5	17	
6	17	
7	17	
8	18	
9	18	
10	18	
11	19	
12	2	
13	2	
14	2	
15	2	
16	2
17	2
18	3
19	3
20	3
21	4
22	5
23	5
24	5
25	5
26	5
27	5
28	6
29	6
30	6
31	7
32	8
33	8
34	8
35	8
36	8
37	8
38	9
39	9
40	9
41	10
42	11
43	11
44	11
45	11
46	11
47	11
48	12
49	12
50	12
51	13
52	14
53	14
54	14
55	14
56	14
57	14
58	15
59	15
60	15
61	16
62	5
63	5
64	5
65	5
66	5
67	5
68	6
69	6
70	6
71	7
72	20
73	20
74	20
75	20
76	20
77	20
78	21
79	21
80	21
81	22
82	8
83	8
84	8
85	8
86	8
87	8
88	9
89	9
90	9
91	10
92	11
93	11
94	11
95	11
96	11
97	11
98	12
99	12
100	12
101	13
